staining_id;animal_id;sex;genotype;dna_damage_stain_quality_manual;manual_qc
26;885;male;APP/PS1;good;passed
35;885;male;APP/PS1;good;passed
6;2042;male;APP/PS1;good;passed
16;2042;male;APP/PS1;good;passed
10;887;male;APP/PS1;good;passed
20;887;male;APP/PS1;good;passed
27;2012;male;APP/PS1;good;passed
36;2012;male;APP/PS1;good;passed
11;2014;male;APP/PS1;good;passed
21;2014;male;APP/PS1;good;passed
7;147;female;APP/PS1;good;passed
17;147;female;APP/PS1;good;passed
12;2041;female;APP/PS1;good;passed
22;2041;female;APP/PS1;good;passed
28;892;female;APP/PS1;good;passed
37;892;female;APP/PS1;good;passed
29;1989;female;APP/PS1;good;passed
38;1989;female;APP/PS1;good;passed
30;2008;female;APP/PS1;good;passed
39;2008;female;APP/PS1;good;passed
31;305;male;APP/PS1 x Neil3 KO;good;passed
40;305;male;APP/PS1 x Neil3 KO;good;passed
8;1887;male;APP/PS1 x Neil3 KO;good;passed
18;1887;male;APP/PS1 x Neil3 KO;good;passed
13;231;male;APP/PS1 x Neil3 KO;good;passed
23;231;male;APP/PS1 x Neil3 KO;good;passed
32;2005;male;APP/PS1 x Neil3 KO;good;passed
41;2005;male;APP/PS1 x Neil3 KO;good;passed
9;253;female;APP/PS1 x Neil3 KO;good;passed
19;253;female;APP/PS1 x Neil3 KO;good;passed
14;1891;female;APP/PS1 x Neil3 KO;good;passed
24;1891;female;APP/PS1 x Neil3 KO;good;passed
33;154;female;APP/PS1 x Neil3 KO;good;passed
42;154;female;APP/PS1 x Neil3 KO;good;passed
34;1995;female;APP/PS1 x Neil3 KO;good;passed
43;1995;female;APP/PS1 x Neil3 KO;good;passed
15;1996;female;APP/PS1 x Neil3 KO;good;passed
25;1996;female;APP/PS1 x Neil3 KO;good;passed
